Text,Cat
"I purchased this on the strength of the Mr. Clean name. Big mistake. The handle and mop head parted ways on the first use and refused to be reunited! There was no direction on the packaging on what to do if this happened, the web site was useless, and the 800 number isn't manned on weekends (which is when I do most of my cleaning). After thirty minutes of trying to fit the handle back onto the mop head, I gave up. Everytime I fit it together, the top popped off again. This was a waste of money and time. I would NOT recommend this product to anyone.",household supplies
I purchased this item in December 05. After many consecutive readings I found this unit to render several readings that were inaccurate. Both systolic and diastolic readings were off by as many 30/40. For one whom has hypertension I would suggest that they not depend on this item to accurately read their blood pressure.,medical supplies equipment
"I have had two cats for about 3 years and after moving twice one of my cats got rather angry about the whole ordeal and would pee and poop in the corner of the living room and soon after on our bed. Yuck! After trying numerous suggestions that failed, I was pointed towards Dr. Elsey's products. Let me tell you, they're wonderful. Ever since switching to the Cat Attract, knock on wood, my cat has always used the litter box. It's a wonderful feeling knowing that your cat is finally happy. And the way it clumps the pee and is dust-free makes it worth the extra money paid on the fancy litter. Try it and save you cat a trip to the pound!",cats
"I also do not have the pump suctioned to the bowl, and with the pump setting on medium, plus a careful arrangement of rocks, I can create any level of water sound I'm in the mood for, and I have to lean so close to the fountain I'm practically drinking from it before I hear any motor noise.This fountain does have a not-so-pretty side, so I put it on a bookshelf underneath a window. I guess it might not work as a centerpiece, but 3/4 of it is very pretty to look at, and it came with two good size bags of rocks, plenty if you leave the ugly side alone.Also, even if you overfill this fountain there's almost no splashing and no leaking out of the bottom either. I have it running all day long at work (up to 10 to 12 hours at a time), and it's very consistent, I only have to add filtered water occasionally. I've gone through MANY fountains, and this is the best one out there, more than worth the price.",health care
"We bought this for our son as a Christmas present. As he was not quite two yet, I thought he might not totally get the concept and that this would be a toy I could put up for later. Boy was I wrong. He loves this puzzle set. I find he plays with it longer and gets less frustrated if I first let him pick out which picture he wants to ""build"" and then take the necessary shapes out and place them next to him. He is very proud of himself once he gets the pieces in then he'll give himself a big round of applause(which mommy and daddy do also). Great self-esteem builder and fun way to teach shapes!",building toys
"Until I read some of the doodle pads' reviews I hadn't thought about the cord length being a problem for left-handed kids. On most models the cord is on the right and too short for lefties. This version works great for my (2yr old) left-handed daughter. The cord is long enough. HOWEVER, If your child is lefted-handed and/or the cord is not long enough try using it upside down. I know it sounds strange but then the cord doesn't have as far to reach and it stays out of the way better. Then you just erase from the top.As for clarity, ours writes clearly for us but you have to follow the instructions for ""seasoning"" the screen before you use it. Use the magnets to completely blacken the screen and then erase. Repeat several times and then it's ready to use. I would buy the small one for traveling if you have a toddler because this may be too big for a small lap in a car seat.",arts crafts
"I have the normal flash flood, and it is great! This is the exact same water gun, though. The only difference is the coloring. I am not sure if it works with the new back pack though. The normal nozzle is great, but the flash flood nozzle is very good. It holds a very impressive 40 oz. of water. If you have enough money, I would buy it! Also, you should look at the Aquapack Devastator.",sports outdoor play
"I gave this ""paint the wild"" set to my 12 year old daughter. She loved it. She enjoyed painting all the horses and making them her own. She gave two out as gifts to family members as christmas ornaments. Our family loved getting a hand painted horse to hang on their tree. I am looking for more kits for her to paint. They make great birthday presents too! If your child likes crafts this kit is for you.",arts crafts
"I like the break away basketball hoop, it allows for ""dunking"" without breaking the hoop.",sports outdoor play
"I've been using these for 7 years for circulatory problems and swelling in my leg. I am on my feet and walk several miles a day with no problem. People I know also use these for ""restless"" leg problems at night.",medical supplies equipment
"Perfect for using in close quarters when magnification is necessary and when you need your hands free. It is perfect for helping your over forty eyes when removing a sliver from a wriggling 2 year old. Hands free, simple to use, time tested. I would recommend these to anyone as a necessary addition to their workshop or first aid kit.",medical supplies equipment
My whole family loves balance bars as a quick way to get a breakfast start when there isn't a lot of time. We used to get them at Trader Joes. My youngest son and myself love the mocha chip the best. My other two like them too but I can get them a couple of other flavors. They stopped carrying any of our favorite flavors at Trader Joes. I decided to try a find them directly- online. When I did they came up on your site which we consider reliable and trust worthy and you had a good price and shipping deal. So we can't miss. Just don't buy too many at once so we don't get them too stale. The first shipment seemed like they may have been on the truck awhile. But we love them and have orded on 3 occassions and plan to again.Thanks.Lisa,nutrition wellness
My son loved this. We only had a few minor problems getting the pieces to stay together for the arms. He was a bit disappointed that he only had enough to make the dinosaur and no other animals.,building toys
"My son purchased this toy with his Christmas money. It seemed pricey considering it was just a Nerf gun. I was concerned that my son would be dissatisfied and regret spending all his money on one toy. However, he was certainly not disappointed. He has played with this toy often and is highly satisfied with the quality and components of the guns. Now, my husband wants one, too.The gun has several interlocking components that work together or may be used separately. It is pretty large, but my 9 year old has no problems holding it. It seems to have a lot of power and shoots a long distance.",sports outdoor play
"I loved the idea behind the python, and set it up easily enough. I think its a total rip off to charge $50 for a piece of plastic tubing with some plastic attached to it.The hose adapter that attaches to the faucet broke so easily when i screwed it in. It takes ALOT of water pressure to make this work correctly. The replacement piece of plastic cost me $10 bucks more than the already rip off Python. Good concept but made of cheap stuff, get a metal/iron one or make your own!!",fish aquatic pets
"I like this one because it's for the person who's got everything. We recently got a butcher block in our kitchen and this is the first item I put there, not only as a conversation piece...but as a handy tool within arm's reach when I don't feel like killing myself with the cleaning of one pot or pan for 20 minutes. The only negative comment i've got, regarding this apparatus, is the fact that we pollute the environment with dead batteries when it's time to change 'em.Being such a small item, you can stick it in your kitchen drawer, cabinet or just about anywhere. I don't know how long it will be, before the scrubbers wear out & we end up tossing the thing in the utility closet...but it's cute, practical & inexpensive. I got mine when it was 50% off, at HOME DEPOT. So...it's not like I lost lots of $$$ whilst purchasing it. The thing comes in handy too, when you have a wine or sauce stain on the countertop and you don't want to waste time rubbing in circles with a sponge or scouring pad, over the same surface for a few minutes. It won't do the job of your own arm & some elbow grease, but it certainly does make my dishwashing job easier & adds a little humor to the boring chore of standing at the sink by myself.The device requires 4 AA batteries, which are included. At least mine came with the batteries...and they are B&D; brand batteries. There are 2 scouring pad attachments and 1 blue-bristled scrub-brush. Some people may find the item noisy. It's all a matter of taste. Personally, i like the item and will continue using it, as it's made by B&D.; B&D;'s products have always lived up to the Brand name.Makes a great gag gift too...and most definitely has to be a door prize at any banquet or party.",household supplies
"As an OTC, my pharmacist said this was the best ""acid reducer"" available. I am thrilled to find this product available online for a much more reasonable price than I can find even at Walmart! I highly recommend prilosec to anyone with GERD",health care
"I have purchased 2 Mag Warriors. They are very hard to put together. But once you do, there pretty cool. It took me about 20 minutes to put it together. I actually had to use a hammer! I wouldn't suggest this toy for younger children. It's more for the ages for 9-13. Overall, there an OK toy.",building toys
"I was nervous when buying this because I wasnt sure if this was the whole set or just replacements- I was pleased when it arrived and was the whole set.My dog has a great time with this toy. The little squirrels inside the trunk are squeaky toys, which she LOVES. The box came with instructions on how to modivate and teach your pet to use it. We put a small treat in the bottom and she had a great time digging it out. The whole process for removing the squirrels takes her less than a minute now, so if there is not a human near by to restock the trunk, she moves on to something else. This is not something I would leave her with and expect it to keep her occupied for the day.I would say that if your pet enjoys this general type of play (stuffed things, digging, hide and seek) this is an EXCELLENT toy and alot of fun.",dogs
Amazing results if you put the work in! I have tried several other fat burners but this is the first that really helped. It is not a miracle drug but if you excercise you will triple the results. Weigh your self on a monday and start taking pills that day. Weigh yourself again in a week and I will garuntee if you excercised and ate healthy you will be down 5 to 10 Pounds! Very happy with this product.,nutrition wellness
"Our daughter would give him straight 5's, but I do question the educational value of a Wiggle.",stuffed animals plush
"I have used a BD Basal Thermometer, but lost it. So I got the Vicks one to replace it. I am frustrated that it doesn't save the last temperature - so I have to read it in that bleary eyed half sleep each morning with a flash light. I am tempted to buy a new BD thermometer, cause this one is a pain (Toni W. of Taking Charge of your Fertilty fame recommends the BD Thermometer, so I recommend you take her advice).",health care
"This is the first time I've ever used Pre-Seed and it doesn't give you the ""sticky"" feeling you can get with other intimate moisturizers. It hasn't gotten ME pregnant, but it got a couple ladies I know pregnant, so I'm definitely going to be using this for the entire time that I'm trying to conceive... Clomid can really do a job on a woman's cervical mucus, and Pre-Seed seems to be the popular remedy for that, so I'm all for it...",health care
"The recipient of this gift stated that it took her 45 minutes to get the mouse to work. Then she kept pumping batteries into the toy, only to have it die after a few minutes. The toy was broken on the first day. Dead on Arrival! Sounded like a great idea for an indoor cat.",cats
Not only does he love it but we never have a problem with separation anxiety when he sees his kong ball with the stuffin inside!,dogs
So far I did not find any issues with the product and the reading seems very acurate,medical supplies equipment
Back problems are something new to me and this is just what I needed to relieve the ache. The vibration seems to really help relax muscle spasms and the heat is also soothing. It is well worth the price.,health care
For the size of this item the shipping was way overpriced. I will not order from this company again.,medical supplies equipment
"This is a fun idea, but once the baby starts to crawl after the monkey and touches it, the monkey falls over and is unable to get back up. You would have thought the manufacturers would have tested this on toddlers before hand!",stuffed animals plush
"I love these Balance Bars. The honey yogurt peanut flavor is the best I've tried, and they are great with a glass of cold, skim milk for breakfast or a snack. Without the milk, they aren't very filling, it's true, but they are still very tasty and better for you than candy. However, it's also true that since they are made with HFCS they aren't as healthy as some of the other bars available. They probably have a fairly high glycemic index.Still, if that's not an issue for you, and you want to soothe a sweet tooth, or find a fairly healthy fast breakfast or snack for on the go, give 'em a try. Btw, some people have complained about the price - here in NYC they go for nearly $2 per bar, making Amazon's prices amazing!",nutrition wellness
IN A NUTSHELL,nutrition wellness
"My daughter recieved this as a gift at about 18 months. She loves puzzles and mastered this one quickly. When each piece is placed into the puzzle, it plays ""Old MacDonald"" in the corresponding instrument sound. There is a magnet sensor which initiates the music. It is however, very sensitive. Sometimes we hear the music going even when all the pieces are in place. I have to keep other puzzles on top of it on my daughter's bookshelf so it will not be exposed to light and start playing on it's own. It's a nice idea for a puzzle, but not our favorite.",puzzles
"It cleans well, no residue, dishes glow -- I have yet to find a better dishwasher cleaner.",household supplies
"The site states that the product is a ""Set of 6 of the most commonly used frequencies contains the following forks",medical supplies equipment
Fabulous massaging cushion. It actually feels like real fingers massaging and kneading your back.,health care
"This stuff is so good it's scary. I've used it 3-4 times in the past couple of days since I got it, and already the dead, thick ugly skin under my nails (that I used to emery-board down when I could) is a little softer and comes out easier with a tool (Tweezerman Pushy & ingrown nail file). Nails are a little whiter, too. (They weren't/aren't as yellow as the ones pictured in the ""before"" photos on the product's box.) I swear they're even a little less ridged on top.If you've struggled with thick undernail/fingertip skin, but have found that antifungals don't work (rightly so, because excess keratin isn't fungal) you'll love this product!",health care
"I have been using this product for two years. It is an excellent product because it contains all the nutrients in a good ratio plus additional herbs. I no longer have to swallow numerous pills to get the nutrition supplements I want, I only have to take two tablespoons once a day and it tastes good. It helps to maintain my health and gives me energy. An excellent product!",nutrition wellness
"I've only had my monitor for a few weeks so I can't speak to it's long term performance. So far however, I'm very satisfied. I work in a hospital so the first thing I did was compare the results of the LifeSource monitor to the real thing. The comparative results were basically the same. I compared the results of a friend's BPs and it appears that this device is pretty reliable. It's easy to operate,easy to read and small enough to take with you to work, trips, etc. I would caution anyone who's wrist circumference is close to the upper limit (7.7 in.)... My left wrist is 6 3/8 inches and it's a very tight fit...",medical supplies equipment
"I don't know if you've ever tried giving a pill to a cat -- it's not easy. I have to give my cat a pill everyday for the rest of her life and at first we did the pinch the cheek, shove the pill in and hope that the cat doesn't spit it back out or bite my finger off. We thought it was working until we found a little pile of pills in her bed. This piller definatly makes things easier but it's not without faults. You still need two people to make this work. One to hold the cat, another to use the piller. It's really not made for tiny pills and as it turns out we ended up using the salmon method of giving the pill. Take pill, put it in a piece of salmon, give to cat. Much easier.",cats
"I bought this based on Consumer Reports Health page , it ranked at the top of all the diet pills . They gave it a 96 out of 100 score. It does work , for me it does anyways , im a big snacker and i find this kills that for me. I have no desire to snack taking this product and i am only taking 3 pills in the afternoon to try and kill my evening / late night snacking habit. It has worked better then i thought it would.Of course with the no snacking im also losing weight , which is what i wanted to do.",nutrition wellness
"I bought this for my 3 children to set up outside in the summer. I decided to set it up in the dining area instead for now and they haven't come out since. It was so easy to set up, took me and my spouse less than an hour and looks great. The bell is cool but not too noisy and the phone is a big hit. My son likes to park his ""car"" in the driveway :-)",sports outdoor play
"We bought this for my daughter's 1st birthday (she is 19 months old now) and she just LOVES anything ELMO...this was her first Elmo toy and she has loved Elmo since! It is amazing that Elmo never really falls while dancing! The kids love it, I would definitely recommend it!",stuffed animals plush
"I Love it, the dog loves it and total strangers love it. I have used the pet carrier all four ways. As a car seat just slip the seat belt through the straps in the back and it stays in place. My puppy also loves to sleep in it - she feels safe and secure in there. My puppy is a little frightened when I wheel it, but that will take time getting used to I guess. As a back pack it's comfortable for both of us - Except my puppy got sick in it - not sure if it was from the excitement of travelling or from the motion. Anyway it comes in handy and we plan to do lots of travelling with it. We haven't travelled by air yet but the description says it should meet airline requirements as a carry-on.",cats
"The songs on this CD are GREAT! My nearly 3 year old jumps around to the music and is learning some of the songs because the tunes are so catchy. We play the CD when we're just in her room cleaning up or playing with toys. As a matter of fact, I've come back to this product again because she jumps around so much next to the CD player that her CD is skipping. The combination of the CD and these flashcards are a tremendous tool in teaching reading readiness. The songs on this CD teach the vowels, phonics, and a catchy version of the ABC song is included. The flashcards ... we both love. The flashcards are a great learning tool for familiarizing your child with upper and lower case letters at the same time, which is important. The upper and lowercase letters are on one side the flash card. And on the other side of the flashcards there are two word associations for each letter. For example, on the reverse side of the ""Aa"" card, are the words ""Afraid"" and ""Alligator"". I would highly recommend this duo to any parent that is looking for a way of creatively laying a strong foundation in developing the reading skills of their preschooler.",learning education
"This nice mask fits me just fine, and does a great job of blocking out the light. It is nice and soft and comfortable, which makes sleeping with it quite easy. As for erotic play, the same properties which make it great for sleeping (effective light blocking, comfortable, soft) makes it a great tool. I highly recommend this mask!(Review of Infinity Sleep Mask)",health care
"Like most people, my exerience with sleep aids is limited to Nyquil and Tylenol PM, which work ok, but aren't made for regular consumption.I have heard that melatonin doesn't work on some people, but it definitely works on me. Its effects are slightly more subtle than you might expect. It is much more pleasant in comparison to other chemicals. I do have to take 6 mg, but I am a big guy.The best part, by far, is that there is no hangover or tiredness the next morning. I can take two and won't feel terrible if I get only 6 hours of sleep.",health care
"These batteries are excellent.They perform just as well as the major brands.A 5 star rating. The price vs performance ratio cannot be beat.If you are tired of buying batteries every other week try these Please note the package i received was opened,and was cut,by scissors, all the bateries flew out of the shipping box when opened it .I guess someone thought this was funny.thanks guys!!!!!!!!!!!!! I thank you Stewart L.",household supplies
"I just bought this sandtable today for my 4yr old son. It went together pretty easy, you do have to push really hard on the legs to get them to lock, I did use a rubber mallet to help me lock in place. The umbrella is nice and I like the idea that it also becomes the lid with 3 straps to hold in place. I cant say how water proof the umbrella is yet since I just got it. Since my son is 4 I thought it could be a little taller and it says it holds 200lbs of sand, well I bought 4 bags of sand and 2 bags practically filled it, so I will use the 2 bags as backup! We all know the sand doesnt stay in the box for long! Overall I like it and I like the fact that the kids can stand up and play instead of being in the sandbox itself. Oh the little shovel attachment is easy to use also. It needs to be removed when you put the cover on but comes off easily and a piece of the umbrella needs to be removed also, but can store in the sandbox when being covered.",sports outdoor play
This products provides excellent lumbar support. The heat and massage features are very soothing. Perfect for the people who suffer with low back pain. It is a must have for road trips.,health care
Super product at a great price. Why go to the supermarket when you can get these at Amazon for less money?,nutrition wellness
These are definitely for lounging in and not for walking in. I took them on a weekend scrapbooking retreat and used them constantly. Wonderful produt!,health care
I ordered this product just last month and let me tell you it is the best that I have ever had. I have problems with my spine and I was looking and looking for a product that I did not have to take internally. I was in a car accident a few years ago and never fully recovered from it. I have trouble with my upper back muscles that then to pull on my spine a great deal. I use this product and it sooths that pain and I can go about my daily activities. I even found the companies web site that is www.bluestuff.com that has a lot of other products as well. You will not be sorry that you tried this product really for any pain that people have. SuperBlue takes the pain away so I can have a life!!!!!,health care
"My son really wanted this bionicle, but bionicles are so expensive that I only buy them on sale, and this item--from toysrus--was priced reasonably (about half the normal price). It's really beautiful, with at least three complicated and attractive figures buildable from this one set, and is pretty sturdy (none of the pieces fly off, as is sometimes the case). I'd say it's the best one I've seen yet, worth a full $25 or so. Unfortunately, the normal retail price is more like $50.",building toys
"I have been buying this little guy (or girl) for a few years now. Every time someone I know has a baby I give them one of these puppies and they, and the baby, just love it. It's just the right size for little hands and it's sooo soft & cuddly! I gave a pink one to one of my friends who was having a girl. She also had a 3 year old son who decided that the little pink puppy was his... he just loved it, and didn't care that it was pink! So, I highly recommend this puppy for babies of all ages!",stuffed animals plush
"Just like the other reviewer, I had the biggest hairy wart on my butt. But wart away was juicy on the wart. And it melted it away. Now my butt is smooth as silk. And smells minty fresh too!",health care
"I bought this product as a last resort for a couch that had 6 month-old cat stains on it and had been sitting in our garage after numerous failed cleaning attempts. After following the directions, and applying a second time to the heavier stained areas, the smell was nearly gone after waiting one weekend for the cleaner to do its work! I was amazed. Now this old couch has new life thanks to this product and can be used again. THANK YOU!!!",dogs
"The Sudoku board game allows players to compete in a multiplayer Sudoku game. Each player/team gets assigned a game board (mild, hot, or spicy) and races to see who can complete the puzzle first. The game includes two boards, two number sets, and one set of game cards. This game is very enjoyable and entertaining. Another neat feature is one player can use this game alone. Since the boards do not require a game card to work, the number of games is un-limited and can come from many different sources (books, magazines, website, etc), which requires you to place the given numbers yourself. This has provided us a great way to play Sudoku without the pencil and will continue to provide another way to enjoy Sudoku.",puzzles
It is an excellent product I am very happy with it,medical supplies equipment
"I have the larger sized Cold Pack and just LOVE it. I've recently injured my back, and the large pack spanned my whole lower back--providng pain relief and accelerated healing.The packs are pliable and easy to use",health care
It does exactly what it's supposed to and it sticks to the sink's side wall quite well. I need to reattach it once in perhaps every 4 weeks.,household supplies
The massager was received in good condition. It was easy to hook up and use. It gives a nice neck and shoulder massage and is a good value for the money.,health care
"I have been purchasing these Depends from Amazon.com for my mother over a year now, and am very, very pleased with all aspects of the ordering process, arrival time, quality and quantity of this product. My invalid mother lives 145 miles away from me, but being able to order these Depends and having them shipped right to her front door is wonderful. I searched for the best deal on these Depends, in stores and on-line, and this is ""as good as it gets"".",health care
"My son, age 9, has always had sweaty little feet and hands! His skin in between the toes and even on his fingertips gets very sore---the skin peels and appears red and ""raw"".We have tried EVERY type of antifungal medication and these swabs are the ONLY thing that works. It takes away the discomfort immediately and it will be healed overnight. Absolutely amazing!!",health care
"This toy is great. My son knows his dad and grandad are golfers and he likes to join in. The only problem is that this is more at Toys R US for $24.99. Little Tikes even only sells it for $19.99. It's overpiced but other than that, we love it!",sports outdoor play
"I have also fallen in love with these cookies but have recenlty been remanced again by them. While in the Crown room for Delta I was pleasantly surprised to see these cookies in a larger size and in a 2 pack. Same wonderful flavor and crunch but in a larger cookie. Love the idea, not as many wrappers to unwrap.Haven't received my order yet thru amazon so can't comment on condition of cookie after shipped.",snack food
I have had extreme success with Lipovarin. I just hope I can maintain my weight loss after I stop taking it!,nutrition wellness
This is the best brand for making my Pug's dog bones. She gets all the vitamins along with the great favor.,nutrition wellness
Very happy with this scale. Seems to be very accurate and gives correct readings the first time you get on it. I love it!,medical supplies equipment
"The table warmer is very easy to use and it works, it's a good buy.",health care
"This is my favorite ear drying lotion. I use it along with the Foaming Ear Cleaner, also made by ADL. They are really great together. I used to only wash my dogs ears and they kept getting infected, over and over again.....Then someone mentioned getting drying powder and that worked alright, but not great. I was convinced there must be something better out there and after a lot of questions and products tried, I finally found this one and it will be the only one I ever use again. It really does work well, better than any other one I have tried, hands down.Even my vet uses it in her office.",dogs
"We bought this for my daughter for her 2nd Christmas. It was a hit, she loves trains. It didn't take long for the excitement to go away, but I don't think it was the trains fault, more her age. I think it is time to put it away and then pull it back out again at a later time. This will bring the new back to it. Good toy. I found the folding instructions a little difficult. Lots of fun.",sports outdoor play
"I've had my Swiffer Wet Jet for over a year, and I have never been impressed with it. I have to use so much cleaning solution, and you have to keep buying the cleaning pads (which don't last long, and don't really pick up anything!) All the Wet Jet does is just push around the dust and hair on my floor. If there is any actual spot that is hard to get off, you are supposed to be able to use this rough part of the Swiffer to scrape it off. However, it is just like the rough part of velcro and doesn't work very well. I end up having to grunt and break out a sweat pushing the Wet Jet back and forth over the spot. Don't buy this, it is too expensive and doesn't work well enough!",household supplies
I loved the concept of the markers. However they have left a greasy stain on my daughters clothing!! The package said that they didn't stain! I called and they gave me a long process to try and remove including Tide with Bleach..Is that one of their subsidiaries? I was very disappointed.,arts crafts
"I have been taking Prilosec OTC for quite awhile now. After trying many other products with no results. Prilosec OTC seemed to be the only one that worked and keeps on working around the clock.Prilosec OTC Is the only Acid Reducer Medicine I buy now and I highly recommend for anyone to give It a shot and see If you don't agree after trying It.It does state on the box, that the product shouldn't be taken for the required number of days. You can take this product as long as you need to, but consult with your Doctor before you do.I've learnt this after consulting with my Doctor and he said that I could take this for as long as I needed.Which I was very pleased, because I couldn't Imagine not being to continue on daily without Prilosec OTC.",health care
"When did the rooster on the box get a cartoony face? Whatever happened to that wonderful abstraction? First they ruined Tony the Tiger, now this.And where did all the high fructose corn syrup come from? Admittedly, it is a flake of corn but that is a nasty ingredient to be skipped at all costs.It's things like that which drive people to the formerly odd grains like spelt and kamut!",breakfast foods
"My two cats love this. Not only is it more hygenic, it saves me time from constantly changing dirty water dishes. Everyone wins and it's fairly priced. Very happy with purchase.",cats
"I just got this and I love it. I got it for my 11 month old twins, and after reading the bad review I wasnt sure why I got it. I am glad I did!As far as being for a 1 month old, no. The box clearly states that it is for 9 months and up.I do agree however the ropes should be a little longer,but not a bog deal. Go to the hardware store and get some chain if you want it lower. I also agree that there should be more leg room, but it is still not bad!!It is a great investment and I am sure happy I got it.",sports outdoor play
"We bought this tunnel over a year ago for our then-crawling almost-one-year-old. I figured it would encourage her to crawl more, which it did--she loved it!Now she's a running, screaming, jumping, independent 2 yo who still drags this tunnel out of the back corner of the play area (where I've tried to hide it) and squeals excitedly when we pop it out for her to play in.Her older sister, who is now 3 1/2, also loves the tunnel. She copies her aunt's ideas and stands upright in the tunnel to pretend she's a monster, or hops with it around her and pretends to be a caterpillar or a frog.We don't yet have any of the tent accessories, but we build our own tents with sofa cushions and sheets, then stick one end of the tunnel in a gap, and you have a secret entrance to a special hideaway.This is one of those classic toys that children of all ages can find lots of uses for--it sparks creativity and imagination, and gives Mom a few minutes' break to go clean the kitchen. ;-)UPDATE",sports outdoor play
"I've tried many protein bars & most seemed dense & hard to chew.This one is very very good- it's lite & crunchy, plenty of chocolate & peanuts along with lots of vitamins & protien. You won't be dissappointed in the taste, texture, or product value.",nutrition wellness
"Just received, put it together and checked BP without even readng the instructions. Compared to a manual reading, accurate with in 6mm hg. Even comes with batteries. Over all a great monitor and one I would recommend for my patients.(Only 4 stars as it is a little bit expensive...I think keeping my blood pressure under control requires accurate measurements and thus is worth the price)",medical supplies equipment
IN A NUTSHELL,nutrition wellness
"When you have enough moments where you accidentally bleach things with regular bleach, then this product will make you very happy. I never ruin anything while using the Oxegenated bleach, but have been know to turn things various shades when using regular bleach.The product is also much more convenient to use because it is lightweight and the container is smaller, therefore making it easy to pull in and out of wherever you keep your laundry products.The scent is never strong and when you use regular bleach, items always seem to have that ""bleachy"" scent which distracts from lovely products like scented softeners.If you want to also bleach your towels and they are in multiple colors, then this product won't bleach out the colors and you can feel safe about washing colors all together. Also works well for whites.~The Rebecca Review",household supplies
The mole seemed to be a good stuffed animal but I did not get to keep it. I placed it in my friends casket because his nickname was Mole and he looked like one. So this stuffed animal was important to me. The price of the mole was reasonable but the price to ship it was outrageous. I think that the shipping prices are too much and should be lowered. I could barely afford to buy the Mole and some flowers after I had to pay around $25 for shipping. But I was satisfied with the mole as a product.,stuffed animals plush
"This ""So Much To Say Blue"" is a fun toy, but the picture is deceiveing. From the picture it looks like blue is made from a smooth type material, but really she's made out of a more fuzzy material. I was hoping that she'd be fuzzy, since I had seen pictures on other sights, and luckily she was. But for other people who want a blue that is made out of smoother cottony material, the picture is very deceiving.",stuffed animals plush
I think they may have different product types because the type I bought at a well know chain store came in a box with a cat lying in the grass with a blue cloud filled sky overhead. These are heavier plastic and very helpful. You may check at your walmart pet center for them. =),cats
"I had a similar neck pillow made by another company- which got lost on a plane, train, or...somewhere else along the way on a recent trip. I was very glad to find this!These pillows are filled with rice and buckwheat, which comform to your body and provide much better support than foam, air, just about any other material.We bought 3, (2 ""travel"" and one ""spa"") and are very happy with them. The fleece provide warmth, and this one (the twilight crush) stays nice and cool (better when you're in the tropics ;) (the fleece will be held for use in travel).I'm adding this review for those who can't tell the difference between the various pillows offered (as the descriptions are pretty sparse). I believe the fill is the same on all of them. (so they should all be microwabeable). They all have removable covers, and so, are washable. The fleece retains warmth better, and the smooth fabrics stay cool. beyond that, i can't tell the difference between the ""travel"" and ""spa"" pillows.These are very well made, and a real bargain at this price!One other thing to consider if you are buying this as a travel pillow. It's pretty substantial (weighty), and might be more than some want to carry....but they are so much more comfortable than air pillows, and really good if you have neck or back problems.",health care
"The wireless feature makes this fencing undependable. I live in an area with little interference. After several tries at transmitter locations, I sent the unit back. I now await arrival of a hard-wired fence from a different manufacturer.",dogs
I read on here that people were very disatisfied after taking it for a few days(get real)and in a few weeks. You have to give the product time. The first month..I felt nothing..the 2nd month..wow! I was a new person...and I have lost 22 lbs to boot!,nutrition wellness
"This product really works. The bottle mentions it take about 4 weeks for the effects to kick in, which is true, but after that time the product really helps to reduce shedding and improve coat quality. I've been using Shed-X for about 7 weeks, and my dog's coat is much shinier and my floor and furniture have much less hair. I'd definitely recommend this to any dog owner.",dogs
"I'm not sure why this table is rated for children over 2 years; my 18 month old loves it! She has used it dry (without sand or water) as a Matchbox car race track! Then we took it outside and filled it with just sand. She loved it that way too! She spent 45 minutes shoveling and building sand castles. My 18 month old has never sat still for that long!!! When it gets warmer outside, we'll put her swim suit on and try it with water. I'm sure it'll be a ""splash""! I'm also interested in trying the table with dry macaroni/ dry rice instead of sand, as suggested in other reviews.The only problem I have with this toy is it comes with two boats, two small sand buckets but only ONE sand shovel. If you have more than one child, you'll need to be prepared with another shovel.The table is long, so there is plenty of room for several kids!!! I also like that the barrier between the sand side, and the water side is high and thick, so the sand and water won't easily become mixed while playing, although we both know it's going to happen anyway, right? :)I put this toy together in about 30 minutes (a power drill is a must!). Each leg is held in place with four screws. It seems very sturdy.The Umbrella is great! It's very large in diameter, and works great for keeping the sun off their skin. My umbrella was burgundy and butter in color, very attractive.I managed to find this activity center on sale for $45.00 at another local store. It was well worth every penny! Comes in a large box, so clean out your trunk before you go! If you're driving a car, bring some string/ rope to tie the trunk lid down. I drive a mid-size car, and the box was too big to close the trunk!Have Fun!",sports outdoor play
"I've been on just about every diet imaginable!! Slim fast left me hungry in about 30 minutes and spiked my carb levels! The Atkins diet made me sick for about two months and I gained 10 lbs more then what I lost when I went off the diet! I was so drained and tired all the time!Herbalife is based on protein! Protein is what drives our hunger.. I guess I should say the lack of protein. Herbalife isn't about quick fixes or some kind of magic pill that wouldn't work any, it's about Living Herbalife Lean! Not two days or two months but, they provide medical information on how to change your eating habits forever! No more dead end diets for me!! Be careful who you buy from though. I've seen Herbalife products fairly cheap on Amazon and Ebay, I'm an Independent Distributor myself and Herbalife doesn't approve, endorse or even allow mass selling so watch the expiration dates! You also might end up paying for something that they won't be able to provide when their license is revoked or find out that it's been handled by a variety of people exposed to temperature extremes.",nutrition wellness
"""Fleecie the Lamb"" . . . a Beanie Baby of great renown . . . doesn't quite match the picture on this page. I was hoping for a lamb with that pink plumpness, and ""Fleecie"" truly is all white and a rather limp, even scrawny creature.However, it has a certain pathetic appeal - - and Reviewer mcHAIKU feels that ANY lamb symbolizes the ""Lamb of God"" & thus is considerably more appropriate in an Easter Basket than the pagan symbol, a rabbit!Whichever child wakes up to find ""FLEECIE"" looking undernourished on a bed of shredded green cellophane will doubtless accept it with familial affection - - and rate it higher than my 3 stars.",stuffed animals plush
